"roaming_partner","Month","Symbol","Customer","Country","Value","Comment","KPI Count","KPIname","Aggr. type"
"CV.T+","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Cape Verde","96.97","-","99.0","Call completion rate voice","default avg"
"CV.T+","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Cape Verde","1.04","-","96.0","Call drop rate voice","default avg"
"CV.T+","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Cape Verde","299.6","-","39922.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"CV.T+","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Cape Verde","86.3","-","116136.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"CV.T+","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Cape Verde","91.83976261127596","-","3370.0","Network KPI-Intern. Mobile Network Availability-AT WBC","Average"
"CV.T+","06/01/2018","M2M AVA DAT CON","Customer B M2M","Cape Verde","4.0","-","129212.0","SMS_delivery_time","default avg"
"CV.T+","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Cape Verde","98.01","-","130021.0","SMS_success_Rate_MT","default avg"
"CV.T+","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Cape Verde","0.7826250343937181","-","188988.0","Traffic split according to radio access technology (2G)","Average"
"CV.T+","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Cape Verde","27.589270059474675","-","188988.0","Traffic split according to radio access technology (3G)","Average"
"CV.T+","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Cape Verde","71.6281049061316","-","188988.0","Traffic split according to radio access technology (4G)","Average"
"LK.ETISALAT","06/01/2018","M2M AVA DAT CON","Customer B M2M","Sri Lanka","98.35","-","279632.0","Availability of Data connections","Average"
"LK.ETISALAT","06/01/2018","M2M AVG DAT SPE DWL LTE","Customer B M2M","Sri Lanka","3394.4533333333334","-","6.0","M2M-Average data speed downlink_4G","Average"
"LK.ETISALAT","06/01/2018","M2M AVG DAT SPE UPL 2G","Customer B M2M","Sri Lanka","27.404","-","2.0","M2M-Average data speed uplink_2G","Average"
"LK.ETISALAT","06/01/2018","M2M AVG DAT SPE UPL 3G","Customer B M2M","Sri Lanka","163.112","-","1.0","M2M-Average data speed uplink_3G","Average"
"LK.ETISALAT","06/01/2018","M2M AVG DAT SPE UPL LTE","Customer B M2M","Sri Lanka","770.882","-","4.0","M2M-Average data speed uplink_4G","Average"
"LK.ETISALAT","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Sri Lanka","95.65","-","46.0","Call completion rate voice","default avg"
"LK.ETISALAT","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Sri Lanka","2.22","-","45.0","Call drop rate voice","default avg"
"LK.ETISALAT","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Sri Lanka","135.2","-","24391.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"LK.ETISALAT","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Sri Lanka","42.2","-","94358.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"LK.ETISALAT","06/01/2018","M2M SER DWN DUR","Customer B M2M","Sri Lanka","66.64887940234792","-","1874.0","Network KPI-Intern. Mobile Network Availability-AT WBC","Average"
"LK.ETISALAT","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Sri Lanka","3.0","-","80944.0","SMS_delivery_time","default avg"
"LK.ETISALAT","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Sri Lanka","98.0","-","81431.0","SMS_success_Rate_MT","default avg"
"LK.ETISALAT","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Sri Lanka","1.53","-","139401.0","Traffic split according to radio access technology (2G)","Average"
"LK.ETISALAT","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Sri Lanka","20.62","-","139401.0","Traffic split according to radio access technology (3G)","Average"
"LK.ETISALAT","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Sri Lanka","77.85","-","139401.0","Traffic split according to radio access technology (4G)","Average"
"LK.PLC","06/01/2018","M2M AVA DAT CON","Customer B M2M","Sri Lanka","97.55","-","8250.0","Availability of Data connections","Average"
"LK.PLC","06/01/2018","M2M AVG DAT SPE DWL 3G","Customer B M2M","Sri Lanka","1824.978","-","12.0","M2M-Average data speed downlink_3G","Average"
"LK.PLC","06/01/2018","M2M AVG DAT SPE DWL LTE","Customer B M2M","Sri Lanka","4397.603555555555","-","9.0","M2M-Average data speed downlink_4G","Average"
"LK.PLC","06/01/2018","M2M AVG DAT SPE UPL 2G","Customer B M2M","Sri Lanka","41.775","-","16.0","M2M-Average data speed uplink_2G","Average"
"LK.PLC","06/01/2018","M2M AVG DAT SPE UPL 3G","Customer B M2M","Sri Lanka","945.5895384615385","-","13.0","M2M-Average data speed uplink_3G","Average"
"LK.PLC","06/01/2018","M2M AVG DAT SPE UPL LTE","Customer B M2M","Sri Lanka","1860.5367999999999","-","10.0","M2M-Average data speed uplink_4G","Average"
"LK.PLC","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Sri Lanka","86.96","-","23.0","Call completion rate voice","default avg"
"LK.PLC","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Sri Lanka","2.94","-","34.0","Call drop rate voice","default avg"
"LK.PLC","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Sri Lanka","785.8","-","104.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"LK.PLC","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Sri Lanka","414.4","-","3257.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"LK.PLC","06/01/2018","M2M SER DWN DUR","Customer B M2M","Sri Lanka","97.845507094062","-","3806.0","Network KPI-Intern. Mobile Network Availability-AT WBC","Average"
"LK.PLC","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Sri Lanka","6.0","-","459.0","SMS_delivery_time","default avg"
"LK.PLC","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Sri Lanka","93.65","-","488.0","SMS_success_Rate_MT","default avg"
"LK.PLC","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Sri Lanka","0.74","-","4031.0","Traffic split according to radio access technology (2G)","Average"
"LK.PLC","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Sri Lanka","3.67","-","4031.0","Traffic split according to radio access technology (3G)","Average"
"LK.PLC","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Sri Lanka","95.58","-","4031.0","Traffic split according to radio access technology (4G)","Average"
"MA.MAROCTELEKOM","06/01/2018","M2M AVA DAT CON","Customer B M2M","Morocco","89.47421052631579","-","152.0","Availability of Data connections","Average"
"MA.MAROCTELEKOM","06/01/2018","M2M CAL COM RAT VOI","Customer B M2M","Morocco","100.0","-","1.0","Call completion rate voice","default avg"
"MA.MAROCTELEKOM","06/01/2018","M2M CAL DRO RAT VOI","Customer B M2M","Morocco","0.0","-","1.0","Call drop rate voice","default avg"
"MA.MAROCTELEKOM","06/01/2018","M2M LAT MOD BAC: 3G","Customer B M2M","Morocco","861.445098039216","-","51.0","Latency between car telematics module and Customer B backend (3G)","default avg"
"MA.MAROCTELEKOM","06/01/2018","M2M LAT MOD BAC: LTE","Customer B M2M","Morocco","301.3","-","9.0","Latency between car telematics module and Customer B backend (LTE)","default avg"
"MA.MAROCTELEKOM","06/01/2018","M2M SMS DEL TIM","Customer B M2M","Morocco","8.0","-","428.0","SMS_delivery_time","default avg"
"MA.MAROCTELEKOM","06/01/2018","M2M SMS SUC RAT","Customer B M2M","Morocco","92.38","-","446.0","SMS_success_Rate_MT","default avg"
"MA.MAROCTELEKOM","06/01/2018","M2M TRA SPL: 2G","Customer B M2M","Morocco","0.0","-","74.0","Traffic split according to radio access technology (2G)","Average"
"MA.MAROCTELEKOM","06/01/2018","M2M TRA SPL: 3G","Customer B M2M","Morocco","87.8404054054054","-","74.0","Traffic split according to radio access technology (3G)","Average"
"MA.MAROCTELEKOM","06/01/2018","M2M TRA SPL: LTE","Customer B M2M","Morocco","12.159594594594594","-","74.0","Traffic split according to radio access technology (4G)","Average"
"MA.ORANGE","06/01/2018","M2M AVA DAT CON","Customer B M2M","Morocco","98.37","-","104750.0","Availability of Data connections","Average"
